id;code;name;town_id;icao;name_eng
396;KTW;Пыржовица;KTW;EPKT;Pyrzowice
397;KUA;Куантан;KUA;WMKD;Kuantan
398;KUF;Курумоч;KUF;UWWW;Kurumoch
399;KUL;Куала-Лумпур;KUL;WMKK;Kuala Lumpur
400;KUN;Каунас;KUN;EYKA;Kaunas
401;KUT;Кутаиси;KUT;UGKO;Kutaisi
402;KVA;Кавала;KVA;LGKV;Kavala
403;KVD;Гянджа;KVD;UBBG;Ganja
404;KVK;Апатиты;KVK;ULMK;Apatity
405;KVX;Киров;KVX;USKK;Kirov
406;KWI;Кувейт;KWI;OKBK;Kuwait
407;KXK;Дземги;KXK;UHKD;Dzyomgi
408;KXX;Каменск-Уральский;KXX;XSSU;
409;KYS;Черемшанка;KJA;UNKM;Cheremshanka
410;KYZ;Кызыл;KYZ;UNKY;Kyzyl
411;KZN;Казань-2;KZN;UWKD;Kazan 2
412;KZO;Кызыл-Орда;KZO;UAOO;Kyzylorda
413;LAD;Луанда(4 февраля);LAD;FNLU;Luanda (4th of febru
414;LAG;Лааге;LAG;ETNL;Laage
415;LAS;Лас-Вегас;LAC;KLAS;McCarran
416;LAX;Лос-Анджелес;LAX;KLAX;Los Angeles
417;LBC;Любек Бланкензее;LBC;EDHL;Lubeck Blankensee
418;LBD;Худжант;LBD;UTDL;Khudzhand
419;LBG;Ле Бурже;PAR;LFPB;Le Bourget
420;LCA;Ларнака;LCA;LCLK;Larnaca
421;LCJ;Лодзь;LCJ;EPLL;Lodz
422;LDE;Тарб;LDE;LFBT;Tarbes Ossun Lourdes
423;LED;Пулково;LED;ULLI;Pulkovo
424;LEH;Гавр;LEH;LFOH;Le Havre
425;LEI;Альмерия;LEI;LEAM;Almeria
426;LEJ;Лейпциг;LEJ;EDDP;Leipzig-Halle
427;LFW;Ломе;LFW;DXXX;Lome
428;LGK;Ланкави;LGK;WMKL;Lancave
429;LGW;Гатвик;LON;EGKK;Gatwick
430;LHE;Лахор;LHE;OPLA;Lahore
431;LHR;Хитроу;LON;EGLL;Heathrow
432;LIG;Лимож;LIG;LFBL;Limoges
433;LIL;Лиль;LIL;LFQQ;Lille
434;LIM;Лима;LIM;SPIM;Lima
435;LIN;Линате;MIL;LIML;Linate
436;LIS;Лиссабон;LIS;LPPT;Lisbon
437;LJU;Любляна;LJU;LJLJ;Ljubljana
438;LKL;Банак;LKL;ENNA;Banak 
439;LLA;Лулеа;LLA;ESPA;Lulea (Kallax AB)
440;LNX;Смоленск;LNX;UUBS;Smolensk
441;LNZ;Линц;LNZ;LOWL;Linz
442;LOS;Лагос;LOS;DNMM;Lagos
443;LPA;Лас-Пальмас;LPA;GCLP;Las Palmas
444;LPK;Липецк;LPK;UUOL;Lipetsk
445;LPL;Ливерпуль;LPL;EGGP;Liverpool
446;LPP;Лапен-ранта;LPP;EFLP;Lappen Ranta
447;LRM;Романа;LRM;MDLR;Casa de Campo-La Rom
448;LRT;Lorient;LRT;LFRH;Lorient
449;LTK;Базель Ал-Ассад межд;LTK;OSLK;Bassel Al-Assad Intl
450;LTN;Лутон;LON;EGGW;Luton
451;LTQ;Le Touquet;LTQ;LFAT;Le Touquet
452;LUN;Лусака;LUN;FLSK;Lusaka
453;LUX;Люксембург;LUX;ELLX;Luxembourg
454;LWN;Ширак;LWN;UDSG;Gyumri
455;LWO;Львов;LWO;UKLL;Lvov
456;LXR;Луксор;LXR;HELX;Luxor
457;LXS;Лемнос;LXS;LGLM;Limnos
458;LYR;Лонгиер;LYR;ENSB;Longyearbyen-Svalbar
459;LYS;Сент Экзюпери;LYS;LFLL;St Exupery
460;MAA;Ченнай;MAA;VOMM;Chennai
461;MAD;Барахас;MAD;LEMD;Barajas
462;MAH;Менорка;MAH;LEMH;Menorca
463;MAN;Манчестер;MAN;EGCC;Manchester
464;MAR;Маракайбо;MAR;SVMC;La Chinita 
465;MBA;Момбаса;MBA;HKMO;Mombasa
466;MBJ;Монтего Бэй;MBJ;;Sangster Intl
467;MBX;Марибор;MBX;LJMB;Maribor
468;MCO;Орландо;ORL;KMCO;Orlando
469;MCT;Маскат;MCT;OOMS;Muscut
